Location;ABCCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
A-14-11;C;"8551FLX;15.0";"C5O9C9;4.0";"VF002;9.5";"2149XPC;13.0";"12261XP;7.0";"2225XP;13.0";"9KZ6W1;11.5";"5691GT;4.5";"7972TR;14.0";"8732TR;15.5";"7781JV000001;7.0";"5791GT;7.0";"5650GT;15.0";"F98BNI;6.0";"UMKYTJ;5.5";"2019XPC22;8.0";"2035XP;13.0";"6NDM0O;13.0"
A-14-12;C;"YMN5EM;11.0";"5750GT;10.0";"7620AF;6.0";"6N3PKW;10.0";"SVFO5S;8.5";"122OKQ;5.0";"5X8RAN;7.5";"8736TR;15.5";"CST1KC;5.5";"1A6YTA;6.5";"X0HH8Y;7.5";"SVFO5S;8.0";"5X8RAN;4.0";"VF008;14.5";"PY5UPB;5.0";"W518XY;15.0";"2312XPJ;11.5";"2035XP;13.0"
A-14-13;C;"F0P5OQ;16.0";"YN8OHN;14.0";"SVJZKL;10.0";"7100B9;6.5";"8622FLX;11.0";"2161XP;8.5";"2027XP;9.0";"PP9DNA;14.5";"7781JV000001;11.5";"7783TR;4.0";"12133XPJ;9.5";"4E0KXI;10.5";"VF008;10.0";"IPGA7X;7.5";"7960VI;15.0";"VT10013;15.0";"SWN7AU;9.0";"JU0ODD;15.0"
A-14-21;C;"IPGA7X;12.0";"2251XPJ;4.5";"E2ES5Z;5.0";"8551FLX;5.0";"2225XP;5.5";"8551FLX;15.0";"9922DLX;8.5";"800OVF;10.5";"102SP;8.0";"6NDM0O;10.0";"YN8OHN;14.5";"2161XP;9.5";"SVFO5S;8.5";"VF008;5.5";"7968TR;12.0";"JU0ODD;12.5";"VF005;6.0";"2209XP;13.0"
A-14-22;C;"8401FLX;13.5";"IJBSQT;11.5";"2081XP;10.5";"VC1708C;6.0";"6300MG;6.5";"C5O9C9;11.0";"VF003;7.0";"6WT73N;12.5";"ADT9MG;5.5";"VWXLZJ;6.0";"H1I7JZ;5.5";"8551FLX;14.5";"CST1KC;7.0";"2209XP;13.5";"VS5792;6.0";"1A6YTA;13.5";"2251XPJ;7.5";"EAJXUV;4.5"
A-14-23;C;"8199JV;6.0";"2215XP;4.0";"2209XP;13.5";"7960VI;5.0";"9922DLX;16.0";"VC1708C;13.5";"PY5UPB;16.0";"2161XP;13.5";"2047XPC;4.5";"12314XP;16.0";"5651GT;4.5";"F98BNI;15.0";"VF007;8.5";"5X8RAN;10.5";"8707CH;13.0";"5650GT;13.5";"MLV9BR;5.5";"SVFO5S;13.5"
A-16-11;C;"PP9DNA;5.0";"W518XY;16.0";"4ILN0A;13.0";"DCB01;4.5";"GPBMZJ;11.5";"2047XPC;13.0";"ETU70R;6.0";"2133XP;6.5";"4161XP;12.0";"VF001;9.5";"SWN7AU;11.0";"F98BNI;7.0";"2005XP;4.5";"TLFT43;7.5";"2047XPC;10.5";"7902TR;4.5";"X0HH8Y;11.5";"XSFSKX;15.5"
A-16-12;C;"8551FLX;7.5";"2017XP;6.0";"2225XP;11.0";"CST1KC;14.0";"801PG;5.0";"2152XPC;5.0";"3120QD;15.0";"5691GT;9.5";"99433X;4.0";"8422FLX;10.5";"2152XPC;6.5";"9900DLX;10.0";"4E1WTK;5.5";"2133XP;14.5";"VF002;14.5";"X0HH8Y;10.5";"SVJZKL;15.0";"EBKM6C;14.5"
A-16-13;C;"VS5792;6.0";"99433X;9.5";"2020XPC;13.5";"8199JV;15.0";"2251XPJ;12.0";"2286XP;8.0";"2251XPJ;11.0";"8736TR;4.0";"5752AG;10.5";"VF008;9.5";"VF004;13.0";"5IXVJ1;4.5";"2312XPJ;5.0";"99433X;16.0";"2005XP;6.0";"VF001;9.5";"8422FLX;13.0";"1A6YTA;12.5"
A-16-21;C;"UMKYTJ;7.0";"ZVUW6Z;15.5";"4161XP;13.0";"9S4AF8;5.5";"7781JV;11.0";"2261XPC;6.0";"6300VT;14.0";"IJBSQT;7.5";"VF009;5.5";"6WT73N;13.5";"9800DLX;7.0";"5706GT;8.5";"UCRNWD;6.5";"7816JV;10.5";"MLV9BR;9.5";"5IXVJ1;4.5";"3120QD;7.5";"E2ES5Z;6.5"
