Location;XYZCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
H-10-13;X;"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0";"8N10W9;11.0"
H-14-11;X;"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0";"8N10W9;10.0"
H-10-23;X;"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0";"8N10W9;12.0"
H-14-21;X;"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5";"8N10W9;10.5"
I-09-13;X;"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0";"8N10W9;9.0"
I-13-11;X;"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5";"8N10W9;9.5"
I-09-23;X;"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0";"I1KDJ0;10.0"
I-13-21;X;"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0";"I1KDJ0;11.0"
H-10-12;X;"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0";"I1KDJ0;9.0"
H-14-12;X;"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0";"WRRW1W;10.0"
