Reference;ABCCOD;Sector
O9YFO8;A;PF      
I1X92B;A;PF      
HOUGRO;B;PF      
D05ZS7;A;PF      
XSFSKX;C;PF      
QOMHJ2;C;PF      
3LQL9L;B;PF      
05W6TK;A;PF      
XPZSZ1;B;PF      
IPGA7X;C;PF      
8BSFSA;B;PF      
HOUJQN;B;PF      
X0HH8Y;C;PF      
V6K6JX;B;PF      
EAJXUV;C;PF      
CVU3QV;C;PF      
EYEOXS;C;PF      
QXS5D1;C;PF      
ASG1IT;C;PF      
D8AMD3;B;PF      
Z26SRT;B;PF      
GPBMZJ;C;PF      
X31OGS;B;PF      
VWXLZJ;C;PF      
JCNON3;B;PF      
J2URNJ;B;PF      
TQBVRI;C;PF      
AX7BJ8;B;PF      
2Z7ZEP;B;PF      
A7MDBC;B;PF      
UU4A1K;B;PF      
CST1KC;C;PF      
TAHFOD;B;PF      
TB6WIP;A;PF      
M8W7TS;B;PF      
EA91CP;C;PF      
TNZ1OO;B;PF      
ZX6MUV;B;PF      
UCRNWD;C;PF      
02MRUH;C;PF      
122OKQ;C;PF      
M67GNC;B;PF      
ETU70R;C;PF      
0SJH1Z;B;PF      
YKQY4X;B;PF      
DNLEH7;B;PF      
PZUF7K;B;PF      
JUUL5B;B;PF      
YXGRMP;C;PF      
5P4LRT;C;PF      
63KAC1;C;PF      
U8203G;B;PF      
84ABYS;B;PF      
MLV9BR;C;PF      
1D2ILZ;B;PF      
HI2X6U;B;PF      
YRRNGL;C;PF      
W518XY;C;PF      
5X8RAN;C;PF      
BLJLMQ;B;PF      
1A6YTA;C;PF      
AB9XBU;B;PF      
2LPO6D;B;PF      
4SD17H;B;PF      
F0P5OQ;C;PF      
F29V5I;B;PF      
ZVUW6Z;C;PF      
F73ZE1;B;PF      
Y813MQ;B;PF      
JCIIEB;C;PF      
HGXJD0;C;PF      
O7TSVL;B;PF      
QTMT7N;B;PF      
ULG3QT;B;PF      
UNPPMJ;B;PF      
XFQ9CP;B;PF      
9KZ6W1;C;PF      
N6JU7C;B;PF      
FQ53YY;C;PF      
UDF17E;C;PF      
JEGRCL;A;PF      
TNAHD4;A;PF      
WRRW1W;A;PF      
QM2UH1;C;PF      
I1KDJ0;A;PF      
WGHG3L;A;PF      
69L9MX;A;PF      
4E0KXI;C;PF      
S90CD9;C;PF      
HLOISD;B;PF      
EUMBM7;B;PF      
RUUOCB;C;PF      
EQQBND;B;PF      
O7AXAK;B;PF      
RN2DSQ;C;PF      
800OVF;C;PF      
QP56BU;C;PF      
PC1PMV;C;PF      
37VA62;A;PF      
066BOU;A;PF      
6M2FJM;C;PF      
G8ASPE;A;PF      
6WT73N;B;PF      
Z8KPP8;B;PF      
70EPUK;B;PF      
32ZKOX;B;PF      
YF0X2Z;C;PF      
TOENMT;B;PF      
EBKM6C;B;PF      
ZGYCSW;A;PF      
YE890X;A;PF      
LXJQVG;A;PF      
AHR20O;A;PF      
5MNTT7;C;PF      
DGAONE;A;PF      
6NDM0O;A;PF      
V7JUQL;C;PF      
Q50W5L;C;PF      
PP9DNA;C;PF      
SY1DDY;A;PF      
ADT9MG;C;PF      
B24J86;C;PF      
F7LULH;A;PF      
9VBE59;B;PF      
JHSQHS;A;PF      
IYXV3Z;B;PF      
9FWH2G;B;PF      
IYLV38;B;PF      
0LNUOV;C;PF      
Q164T6;C;PF      
KZ5VR3;A;PF      
F98BNI;A;PF      
9S4AF8;B;PF      
8D9SAW;B;PF      
AKP0A7;A;PF      
1ENECA;A;PF      
XLTRGL;A;PF      
KTDZY0;B;PF      
SSQFQA;C;PF      
UHYJ3A;A;PF      
5P2MVG;A;PF      
SWN7AU;B;PF      
W25EZN;C;PF      
IA7X1P;C;PF      
NISP6K;C;PF      
IJBSQT;C;PF      
NM6C73;C;PF      
RBKNR4;C;PF      
YN8OHN;C;PF      
JWTWL1;C;PF      
4ILN0A;C;PF      
APQKWK;C;PF      
6MKIC6;C;PF      
JGP0ID;C;PF      
H51IVV;C;PF      
YMN5EM;C;PF      
A19092;B;PF      
SVJZKL;A;PF      
ODZZLY;B;PF      
T3NVTG;B;PF      
I2B1FH;A;PF      
5HQR89;A;PF      
HA0BOB;B;PF      
ZRCYSH;A;PF      
1JT1XB;B;PF      
QVFB0Q;A;PF      
CD1NU9;A;PF      
NJVZEL;A;PF      
U95NWB;B;PF      
56TC1Z;A;PF      
2T1DJM;C;PF      
J3FI7N;A;PF      
TBCCF7;C;PF      
E2ES5Z;A;PF      
RAUDQ6;A;PF      
IAKTYD;C;PF      
8N10W9;B;PF      
KUFVRI;B;PF      
6N3PKW;C;PF      
9KHDG3;B;PF      
K3YA1X;C;PF      
5IXVJ1;C;PF      
FJ25W1;C;PF      
SVFO5S;C;PF      
AHSNWF;A;PF      
IYV9SV;A;PF      
HXQR4L;A;PF      
SMMRK3;C;PF      
2OAVPY;C;PF      
WH1BJI;C;PF      
XUZJ74;C;PF      
8E9F1P;B;PF      
CU53FM;C;PF      
E5CISL;C;PF      
7BU1V7;C;PF      
DF3KQM;C;PF      
PY5UPB;C;PF      
7GC57K;C;PF      
C5O9C9;C;PF      
TLFT43;C;PF      
VHQ356;C;PF      
HCMI82;C;PF      
EO69NY;C;PF      
JU0ODD;C;PF      
DSQXYR;C;PF      
H1I7JZ;C;PF      
4E1WTK;C;PF      
UMKYTJ;C;PF      
