originalLocation,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
A-14-11,TQBVRI;7,O7TSVL;12,4E0KXI;16,ULG3QT;11,AKP0A7;9,CD1NU9;7,A7MDBC;15,0SJH1Z;16,XFQ9CP;7,05W6TK;13,YXGRMP;9,VWXLZJ;16,TLFT43;8,PY5UPB;11,H51IVV;10,K3YA1X;11,2T1DJM;13,NISP6K;14
A-14-12,YE890X;5,TLFT43;10,EYEOXS;6,QP56BU;12,VWXLZJ;5,6NDM0O;10,A19092;14,YF0X2Z;16,FQ53YY;14,YRRNGL;15,JHSQHS;6,TLFT43;14,WRRW1W;6,TBCCF7;11,SVFO5S;10,TB6WIP;9,8N10W9;7,YRRNGL;8
A-14-13,M8W7TS;12,63KAC1;10,GPBMZJ;9,CVU3QV;11,05W6TK;14,A19092;4,TBCCF7;9,ZGYCSW;13,AHR20O;4,8N10W9;7,TBCCF7;15,9VBE59;11,IA7X1P;15,63KAC1;10,I2B1FH;9,O9YFO8;10,V7JUQL;13,N6JU7C;13
A-14-21,CST1KC;5,O7TSVL;14,HGXJD0;10,37VA62;13,AHSNWF;13,9KHDG3;8,5P4LRT;12,FQ53YY;14,QVFB0Q;4,J3FI7N;11,X31OGS;13,HOUGRO;13,VHQ356;7,EAJXUV;8,JU0ODD;12,SWN7AU;4,IYLV38;9,QVFB0Q;7
A-14-22,5IXVJ1;13,ZX6MUV;5,NM6C73;11,I2B1FH;16,0LNUOV;11,F29V5I;7,QTMT7N;13,SMMRK3;6,QVFB0Q;8,W518XY;9,ZRCYSH;6,6WT73N;11,EO69NY;11,PZUF7K;4,QP56BU;6,O9YFO8;14,CST1KC;12,6M2FJM;10
A-14-23,SWN7AU;16,PY5UPB;7,O9YFO8;8,5HQR89;13,UU4A1K;10,FQ53YY;10,SY1DDY;13,5IXVJ1;4,800OVF;9,0SJH1Z;4,RBKNR4;9,6M2FJM;7,APQKWK;4,HI2X6U;6,RUUOCB;13,YMN5EM;5,4SD17H;14,02MRUH;11
A-14-30,A7MDBC;4,4ILN0A;6,IA7X1P;6,RN2DSQ;15,PZUF7K;12,TAHFOD;10,5P4LRT;16,JEGRCL;9,QM2UH1;11,JWTWL1;10,JGP0ID;11,5MNTT7;10,5P2MVG;14,F7LULH;5,56TC1Z;9,HA0BOB;13,SSQFQA;10,YKQY4X;10
A-14-40,JWTWL1;10,JEGRCL;7,SSQFQA;16,AB9XBU;4,TB6WIP;12,HOUJQN;9,02MRUH;6,05W6TK;10,EYEOXS;15,CST1KC;6,84ABYS;15,9VBE59;16,F0P5OQ;14,JCIIEB;6,32ZKOX;14,ADT9MG;12,ODZZLY;13,PC1PMV;13
A-16-11,PY5UPB;7,DSQXYR;15,Y813MQ;16,B24J86;12,JU0ODD;15,1D2ILZ;7,CVU3QV;5,LXJQVG;7,4ILN0A;12,UNPPMJ;10,TLFT43;6,WH1BJI;9,EAJXUV;6,0LNUOV;15,U95NWB;13,M8W7TS;14,XLTRGL;14,QM2UH1;9
A-16-12,T3NVTG;7,SVJZKL;13,EYEOXS;10,EO69NY;6,IJBSQT;6,V6K6JX;12,IYLV38;11,IYXV3Z;14,ETU70R;14,I2B1FH;14,5P2MVG;4,V6K6JX;14,D8AMD3;16,EYEOXS;5,W25EZN;16,122OKQ;6,ADT9MG;5,5X8RAN;4
