originalLocation,position,x,y,z
A-14-11,"368, 0, 1",368,0,1
A-14-12,"352, 0, 1",352,0,1
A-14-13,"336, 0, 1",336,0,1
A-14-21,"368, 0, 2",368,0,2
A-14-22,"352, 0, 2",352,0,2
A-14-23,"336, 0, 2",336,0,2
A-14-30,"352, 0, 3",352,0,3
A-14-40,"352, 0, 4",352,0,4
A-16-11,"318, 0, 1",318,0,1
A-16-12,"302, 0, 1",302,0,1
A-16-13,"286, 0, 1",286,0,1
A-16-21,"318, 0, 2",318,0,2
A-16-22,"302, 0, 2",302,0,2
A-16-23,"286, 0, 2",286,0,2
A-16-30,"302, 0, 3",302,0,3
A-16-40,"302, 0, 4",302,0,4
A-18-11,"268, 0, 1",268,0,1
A-18-12,"252, 0, 1",252,0,1
A-18-13,"236, 0, 1",236,0,1
A-18-21,"268, 0, 2",268,0,2
A-18-22,"252, 0, 2",252,0,2
A-18-23,"236, 0, 2",236,0,2
A-18-30,"252, 0, 3",252,0,3
A-18-40,"252, 0, 4",252,0,4
A-20-11,"218, 0, 1",218,0,1
A-20-12,"202, 0, 1",202,0,1
A-20-13,"186, 0, 1",186,0,1
A-20-21,"218, 0, 2",218,0,2
A-20-22,"202, 0, 2",202,0,2
A-20-23,"186, 0, 2",186,0,2
A-20-30,"202, 0, 3",202,0,3
A-20-40,"202, 0, 4",202,0,4
A-22-11,"168, 0, 1",168,0,1
A-22-12,"152, 0, 1",152,0,1
A-22-13,"136, 0, 1",136,0,1
A-22-21,"168, 0, 2",168,0,2
A-22-22,"152, 0, 2",152,0,2
A-22-23,"136, 0, 2",136,0,2
A-22-30,"152, 0, 3",152,0,3
A-22-40,"152, 0, 4",152,0,4
A-24-11,"118, 0, 1",118,0,1
A-24-12,"102, 0, 1",102,0,1
A-24-13,"86, 0, 1",86,0,1
A-24-21,"118, 0, 2",118,0,2
A-24-22,"102, 0, 2",102,0,2
A-24-23,"86, 0, 2",86,0,2
A-24-30,"102, 0, 3",102,0,3
A-24-40,"102, 0, 4",102,0,4
B-13-11,"368, 32, 1",368,32,1
B-13-12,"352, 32, 1",352,32,1
B-13-13,"336, 32, 1",336,32,1
B-13-21,"368, 32, 2",368,32,2
B-13-22,"352, 32, 2",352,32,2
B-13-23,"336, 32, 2",336,32,2
B-13-30,"352, 32, 3",352,32,3
B-13-40,"352, 32, 4",352,32,4
B-14-11,"368, 90, 1",368,90,1
B-14-12,"352, 90, 1",352,90,1
B-14-13,"336, 90, 1",336,90,1
B-14-21,"368, 90, 2",368,90,2
B-14-22,"352, 90, 2",352,90,2
B-14-23,"336, 90, 2",336,90,2
B-14-30,"352, 90, 3",352,90,3
B-14-40,"352, 90, 4",352,90,4
B-15-11,"318, 32, 1",318,32,1
B-15-12,"302, 32, 1",302,32,1
B-15-13,"286, 32, 1",286,32,1
B-15-21,"318, 32, 2",318,32,2
B-15-22,"302, 32, 2",302,32,2
B-15-23,"286, 32, 2",286,32,2
B-15-30,"302, 32, 3",302,32,3
B-15-40,"302, 32, 4",302,32,4
B-16-11,"318, 90, 1",318,90,1
B-16-12,"302, 90, 1",302,90,1
B-16-13,"286, 90, 1",286,90,1
B-16-21,"318, 90, 2",318,90,2
B-16-22,"302, 90, 2",302,90,2
B-16-23,"286, 90, 2",286,90,2
B-16-30,"302, 90, 3",302,90,3
B-16-40,"302, 90, 4",302,90,4
B-17-11,"268, 32, 1",268,32,1
B-17-12,"252, 32, 1",252,32,1
B-17-13,"236, 32, 1",236,32,1
B-17-21,"268, 32, 2",268,32,2
B-17-22,"252, 32, 2",252,32,2
B-17-23,"236, 32, 2",236,32,2
B-17-30,"252, 32, 3",252,32,3
B-17-40,"252, 32, 4",252,32,4
B-18-11,"268, 90, 1",268,90,1
B-18-12,"252, 90, 1",252,90,1
B-18-13,"236, 90, 1",236,90,1
B-18-21,"268, 90, 2",268,90,2
B-18-22,"252, 90, 2",252,90,2
B-18-23,"236, 90, 2",236,90,2
B-18-30,"252, 90, 3",252,90,3
B-18-40,"252, 90, 4",252,90,4
B-19-11,"218, 32, 1",218,32,1
B-19-12,"202, 32, 1",202,32,1
B-19-13,"186, 32, 1",186,32,1
B-19-21,"218, 32, 2",218,32,2
B-19-22,"202, 32, 2",202,32,2
B-19-23,"186, 32, 2",186,32,2
B-19-30,"202, 32, 3",202,32,3
B-19-40,"202, 32, 4",202,32,4
B-20-11,"218, 90, 1",218,90,1
B-20-12,"202, 90, 1",202,90,1
B-20-13,"186, 90, 1",186,90,1
B-20-21,"218, 90, 2",218,90,2
B-20-22,"202, 90, 2",202,90,2
B-20-23,"186, 90, 2",186,90,2
B-20-30,"202, 90, 3",202,90,3
B-20-40,"202, 90, 4",202,90,4
B-21-11,"168, 32, 1",168,32,1
B-21-12,"152, 32, 1",152,32,1
B-21-13,"136, 32, 1",136,32,1
B-21-21,"168, 32, 2",168,32,2
B-21-22,"152, 32, 2",152,32,2
B-21-23,"136, 32, 2",136,32,2
B-21-30,"152, 32, 3",152,32,3
B-21-40,"152, 32, 4",152,32,4
B-22-11,"168, 90, 1",168,90,1
B-22-12,"152, 90, 1",152,90,1
B-22-13,"136, 90, 1",136,90,1
B-22-21,"168, 90, 2",168,90,2
B-22-22,"152, 90, 2",152,90,2
B-22-23,"136, 90, 2",136,90,2
B-22-30,"152, 90, 3",152,90,3
B-22-40,"152, 90, 4",152,90,4
B-23-11,"118, 32, 1",118,32,1
B-23-12,"102, 32, 1",102,32,1
B-23-13,"86, 32, 1",86,32,1
B-23-21,"118, 32, 2",118,32,2
B-23-22,"102, 32, 2",102,32,2
B-23-23,"86, 32, 2",86,32,2
B-23-30,"102, 32, 3",102,32,3
B-23-40,"102, 32, 4",102,32,4
B-24-11,"118, 90, 1",118,90,1
B-24-12,"102, 90, 1",102,90,1
B-24-13,"86, 90, 1",86,90,1
B-24-21,"118, 90, 2",118,90,2
B-24-22,"102, 90, 2",102,90,2
B-24-23,"86, 90, 2",86,90,2
B-24-30,"102, 90, 3",102,90,3
B-24-40,"102, 90, 4",102,90,4
C-13-11,"368, 122, 1",368,122,1
C-13-12,"352, 122, 1",352,122,1
C-13-13,"336, 122, 1",336,122,1
C-13-21,"368, 122, 2",368,122,2
C-13-22,"352, 122, 2",352,122,2
C-13-23,"336, 122, 2",336,122,2
C-13-30,"352, 122, 3",352,122,3
C-13-40,"352, 122, 4",352,122,4
C-14-11,"368, 180, 1",368,180,1
C-14-12,"352, 180, 1",352,180,1
C-14-13,"336, 180, 1",336,180,1
C-14-21,"368, 180, 2",368,180,2
C-14-22,"352, 180, 2",352,180,2
C-14-23,"336, 180, 2",336,180,2
C-14-30,"352, 180, 3",352,180,3
C-14-40,"352, 180, 4",352,180,4
C-15-11,"318, 122, 1",318,122,1
C-15-12,"302, 122, 1",302,122,1
C-15-13,"286, 122, 1",286,122,1
C-15-21,"318, 122, 2",318,122,2
C-15-22,"302, 122, 2",302,122,2
C-15-23,"286, 122, 2",286,122,2
C-15-30,"302, 122, 3",302,122,3
C-15-40,"302, 122, 4",302,122,4
C-16-11,"318, 180, 1",318,180,1
C-16-12,"302, 180, 1",302,180,1
C-16-13,"286, 180, 1",286,180,1
C-16-21,"318, 180, 2",318,180,2
C-16-22,"302, 180, 2",302,180,2
C-16-23,"286, 180, 2",286,180,2
C-16-30,"302, 180, 3",302,180,3
C-16-40,"302, 180, 4",302,180,4
C-17-11,"268, 122, 1",268,122,1
C-17-12,"252, 122, 1",252,122,1
C-17-13,"236, 122, 1",236,122,1
C-17-21,"268, 122, 2",268,122,2
C-17-22,"252, 122, 2",252,122,2
C-17-23,"236, 122, 2",236,122,2
C-17-30,"252, 122, 3",252,122,3
C-17-40,"252, 122, 4",252,122,4
C-18-11,"268, 180, 1",268,180,1
C-18-12,"252, 180, 1",252,180,1
C-18-13,"236, 180, 1",236,180,1
C-18-21,"268, 180, 2",268,180,2
C-18-22,"252, 180, 2",252,180,2
C-18-23,"236, 180, 2",236,180,2
C-18-30,"252, 180, 3",252,180,3
C-18-40,"252, 180, 4",252,180,4
C-19-11,"218, 122, 1",218,122,1
C-19-12,"202, 122, 1",202,122,1
C-19-13,"186, 122, 1",186,122,1
C-19-21,"218, 122, 2",218,122,2
C-19-22,"202, 122, 2",202,122,2
C-19-23,"186, 122, 2",186,122,2
C-19-30,"202, 122, 3",202,122,3
C-19-40,"202, 122, 4",202,122,4
C-20-11,"218, 180, 1",218,180,1
C-20-12,"202, 180, 1",202,180,1
C-20-13,"186, 180, 1",186,180,1
C-20-21,"218, 180, 2",218,180,2
C-20-22,"202, 180, 2",202,180,2
C-20-23,"186, 180, 2",186,180,2
C-20-30,"202, 180, 3",202,180,3
C-20-40,"202, 180, 4",202,180,4
C-21-11,"168, 122, 1",168,122,1
C-21-12,"152, 122, 1",152,122,1
C-21-13,"136, 122, 1",136,122,1
C-21-21,"168, 122, 2",168,122,2
C-21-22,"152, 122, 2",152,122,2
C-21-23,"136, 122, 2",136,122,2
C-21-30,"152, 122, 3",152,122,3
C-21-40,"152, 122, 4",152,122,4
C-22-11,"168, 180, 1",168,180,1
C-22-12,"152, 180, 1",152,180,1
C-22-13,"136, 180, 1",136,180,1
C-22-21,"168, 180, 2",168,180,2
C-22-22,"152, 180, 2",152,180,2
C-22-23,"136, 180, 2",136,180,2
C-22-30,"152, 180, 3",152,180,3
C-22-40,"152, 180, 4",152,180,4
C-23-11,"118, 122, 1",118,122,1
C-23-12,"102, 122, 1",102,122,1
C-23-13,"86, 122, 1",86,122,1
C-23-21,"118, 122, 2",118,122,2
C-23-22,"102, 122, 2",102,122,2
C-23-23,"86, 122, 2",86,122,2
C-23-30,"102, 122, 3",102,122,3
C-23-40,"102, 122, 4",102,122,4
C-24-11,"118, 180, 1",118,180,1
C-24-12,"102, 180, 1",102,180,1
C-24-13,"86, 180, 1",86,180,1
C-24-21,"118, 180, 2",118,180,2
C-24-22,"102, 180, 2",102,180,2
C-24-23,"86, 180, 2",86,180,2
C-24-30,"102, 180, 3",102,180,3
C-24-40,"102, 180, 4",102,180,4
D-13-11,"368, 212, 1",368,212,1
D-13-12,"352, 212, 1",352,212,1
D-13-13,"336, 212, 1",336,212,1
D-13-21,"368, 212, 2",368,212,2
D-13-22,"352, 212, 2",352,212,2
D-13-23,"336, 212, 2",336,212,2
D-13-30,"352, 212, 3",352,212,3
D-13-40,"352, 212, 4",352,212,4
D-14-11,"368, 270, 1",368,270,1
D-14-12,"352, 270, 1",352,270,1
D-14-13,"336, 270, 1",336,270,1
D-14-21,"368, 270, 2",368,270,2
D-14-22,"352, 270, 2",352,270,2
D-14-23,"336, 270, 2",336,270,2
D-14-30,"352, 270, 3",352,270,3
D-14-40,"352, 270, 4",352,270,4
D-15-11,"318, 212, 1",318,212,1
D-15-12,"302, 212, 1",302,212,1
D-15-13,"286, 212, 1",286,212,1
D-15-21,"318, 212, 2",318,212,2
D-15-22,"302, 212, 2",302,212,2
D-15-23,"286, 212, 2",286,212,2
D-15-30,"302, 212, 3",302,212,3
D-15-40,"302, 212, 4",302,212,4
D-16-11,"318, 270, 1",318,270,1
D-16-12,"302, 270, 1",302,270,1
D-16-13,"286, 270, 1",286,270,1
D-16-21,"318, 270, 2",318,270,2
D-16-22,"302, 270, 2",302,270,2
D-16-23,"286, 270, 2",286,270,2
D-16-30,"302, 270, 3",302,270,3
D-16-40,"302, 270, 4",302,270,4
D-17-11,"268, 212, 1",268,212,1
D-17-12,"252, 212, 1",252,212,1
D-17-13,"236, 212, 1",236,212,1
D-17-21,"268, 212, 2",268,212,2
D-17-22,"252, 212, 2",252,212,2
D-17-23,"236, 212, 2",236,212,2
D-17-30,"252, 212, 3",252,212,3
D-17-40,"252, 212, 4",252,212,4
D-18-11,"268, 270, 1",268,270,1
D-18-12,"252, 270, 1",252,270,1
D-18-13,"236, 270, 1",236,270,1
D-18-21,"268, 270, 2",268,270,2
D-18-22,"252, 270, 2",252,270,2
D-18-23,"236, 270, 2",236,270,2
D-18-30,"252, 270, 3",252,270,3
D-18-40,"252, 270, 4",252,270,4
D-19-11,"218, 212, 1",218,212,1
D-19-12,"202, 212, 1",202,212,1
D-19-13,"186, 212, 1",186,212,1
D-19-21,"218, 212, 2",218,212,2
D-19-22,"202, 212, 2",202,212,2
D-19-23,"186, 212, 2",186,212,2
D-19-30,"202, 212, 3",202,212,3
D-19-40,"202, 212, 4",202,212,4
D-20-11,"218, 270, 1",218,270,1
D-20-12,"202, 270, 1",202,270,1
D-20-13,"186, 270, 1",186,270,1
D-20-21,"218, 270, 2",218,270,2
D-20-22,"202, 270, 2",202,270,2
D-20-23,"186, 270, 2",186,270,2
D-20-30,"202, 270, 3",202,270,3
D-20-40,"202, 270, 4",202,270,4
D-21-11,"168, 212, 1",168,212,1
D-21-12,"152, 212, 1",152,212,1
D-21-13,"136, 212, 1",136,212,1
D-21-21,"168, 212, 2",168,212,2
D-21-22,"152, 212, 2",152,212,2
D-21-23,"136, 212, 2",136,212,2
D-21-30,"152, 212, 3",152,212,3
D-21-40,"152, 212, 4",152,212,4
D-22-11,"168, 270, 1",168,270,1
D-22-12,"152, 270, 1",152,270,1
D-22-13,"136, 270, 1",136,270,1
D-22-21,"168, 270, 2",168,270,2
D-22-22,"152, 270, 2",152,270,2
D-22-23,"136, 270, 2",136,270,2
D-22-30,"152, 270, 3",152,270,3
D-22-40,"152, 270, 4",152,270,4
D-23-11,"118, 212, 1",118,212,1
D-23-12,"102, 212, 1",102,212,1
D-23-13,"86, 212, 1",86,212,1
D-23-21,"118, 212, 2",118,212,2
D-23-22,"102, 212, 2",102,212,2
D-23-23,"86, 212, 2",86,212,2
D-23-30,"102, 212, 3",102,212,3
D-23-40,"102, 212, 4",102,212,4
D-24-11,"118, 270, 1",118,270,1
D-24-12,"102, 270, 1",102,270,1
D-24-13,"86, 270, 1",86,270,1
D-24-21,"118, 270, 2",118,270,2
D-24-22,"102, 270, 2",102,270,2
D-24-23,"86, 270, 2",86,270,2
D-24-30,"102, 270, 3",102,270,3
D-24-40,"102, 270, 4",102,270,4
E-13-11,"368, 302, 1",368,302,1
E-13-12,"352, 302, 1",352,302,1
E-13-13,"336, 302, 1",336,302,1
E-13-21,"368, 302, 2",368,302,2
E-13-22,"352, 302, 2",352,302,2
E-13-23,"336, 302, 2",336,302,2
E-13-30,"352, 302, 3",352,302,3
E-13-40,"352, 302, 4",352,302,4
E-14-11,"368, 360, 1",368,360,1
E-14-12,"352, 360, 1",352,360,1
E-14-13,"336, 360, 1",336,360,1
E-14-21,"368, 360, 2",368,360,2
E-14-22,"352, 360, 2",352,360,2
E-14-23,"336, 360, 2",336,360,2
E-14-30,"352, 360, 3",352,360,3
E-14-40,"352, 360, 4",352,360,4
E-15-11,"318, 302, 1",318,302,1
E-15-12,"302, 302, 1",302,302,1
E-15-13,"286, 302, 1",286,302,1
E-15-21,"318, 302, 2",318,302,2
E-15-22,"302, 302, 2",302,302,2
E-15-23,"286, 302, 2",286,302,2
E-15-30,"302, 302, 3",302,302,3
E-15-40,"302, 302, 4",302,302,4
E-16-11,"318, 360, 1",318,360,1
E-16-12,"302, 360, 1",302,360,1
E-16-13,"286, 360, 1",286,360,1
E-16-21,"318, 360, 2",318,360,2
E-16-22,"302, 360, 2",302,360,2
E-16-23,"286, 360, 2",286,360,2
E-16-30,"302, 360, 3",302,360,3
E-16-40,"302, 360, 4",302,360,4
E-17-11,"268, 302, 1",268,302,1
E-17-12,"252, 302, 1",252,302,1
E-17-13,"236, 302, 1",236,302,1
E-17-21,"268, 302, 2",268,302,2
E-17-22,"252, 302, 2",252,302,2
E-17-23,"236, 302, 2",236,302,2
E-17-30,"252, 302, 3",252,302,3
E-17-40,"252, 302, 4",252,302,4
E-18-11,"268, 360, 1",268,360,1
E-18-12,"252, 360, 1",252,360,1
E-18-13,"236, 360, 1",236,360,1
E-18-21,"268, 360, 2",268,360,2
E-18-22,"252, 360, 2",252,360,2
E-18-23,"236, 360, 2",236,360,2
E-18-30,"252, 360, 3",252,360,3
E-18-40,"252, 360, 4",252,360,4
E-19-11,"218, 302, 1",218,302,1
E-19-12,"202, 302, 1",202,302,1
E-19-13,"186, 302, 1",186,302,1
E-19-21,"218, 302, 2",218,302,2
E-19-22,"202, 302, 2",202,302,2
E-19-23,"186, 302, 2",186,302,2
E-19-30,"202, 302, 3",202,302,3
E-19-40,"202, 302, 4",202,302,4
E-20-11,"218, 360, 1",218,360,1
E-20-12,"202, 360, 1",202,360,1
E-20-13,"186, 360, 1",186,360,1
E-20-21,"218, 360, 2",218,360,2
E-20-22,"202, 360, 2",202,360,2
E-20-23,"186, 360, 2",186,360,2
E-20-30,"202, 360, 3",202,360,3
E-20-40,"202, 360, 4",202,360,4
E-21-11,"168, 302, 1",168,302,1
E-21-12,"152, 302, 1",152,302,1
E-21-13,"136, 302, 1",136,302,1
E-21-21,"168, 302, 2",168,302,2
E-21-22,"152, 302, 2",152,302,2
E-21-23,"136, 302, 2",136,302,2
E-21-30,"152, 302, 3",152,302,3
E-21-40,"152, 302, 4",152,302,4
E-22-11,"168, 360, 1",168,360,1
E-22-12,"152, 360, 1",152,360,1
E-22-13,"136, 360, 1",136,360,1
E-22-21,"168, 360, 2",168,360,2
E-22-22,"152, 360, 2",152,360,2
E-22-23,"136, 360, 2",136,360,2
E-22-30,"152, 360, 3",152,360,3
E-22-40,"152, 360, 4",152,360,4
E-23-11,"118, 302, 1",118,302,1
E-23-12,"102, 302, 1",102,302,1
E-23-13,"86, 302, 1",86,302,1
E-23-21,"118, 302, 2",118,302,2
E-23-22,"102, 302, 2",102,302,2
E-23-23,"86, 302, 2",86,302,2
E-23-30,"102, 302, 3",102,302,3
E-23-40,"102, 302, 4",102,302,4
E-24-11,"118, 360, 1",118,360,1
