points_specified;labels
(66.0, -29.0, 1.0);LC-01
(66.0, 61.0, 1.0);LC-02
(66.0, 151.0, 1.0);LC-03
(66.0, 241.0, 1.0);LC-04
(66.0, 331.0, 1.0);LC-05
(66.0, 421.0, 1.0);LC-06
(66.0, 511.0, 1.0);LC-07
(66.0, 631.0, 1.0);LC-08
(66.0, 751.0, 1.0);LC-09
(66.0, 841.0, 1.0);LC-10
(66.0, 931.0, 1.0);LC-11
(66.0, 1021.0, 1.0);LC-12
(66.0, 1111.0, 1.0);LC-13
(66.0, 1201.0, 1.0);LC-14
(66.0, 1291.0, 1.0);LC-15
(66.0, 1381.0, 1.0);LC-16
(66.0, 1471.0, 1.0);LC-17
(403.0, 1471.0, 1.0);CC-17
(403.0, 1381.0, 1.0);CC-16
(403.0, 1291.0, 1.0);CC-15
(403.0, 1201.0, 1.0);CC-14
(403.0, 1111.0, 1.0);CC-13
(403.0, 1021.0, 1.0);CC-12
(403.0, 931.0, 1.0);CC-11
(403.0, 841.0, 1.0);CC-10
(403.0, 751.0, 1.0);CC-09
(403.0, 631.0, 1.0);CC-08
(403.0, 511.0, 1.0);CC-07
(403.0, 421.0, 1.0);CC-06
(403.0, 331.0, 1.0);CC-05
(403.0, 241.0, 1.0);CC-04
(403.0, 151.0, 1.0);CC-03
(403.0, 61, 1.0);CC-02
(403.0, -29, 1.0);CC-01
(686.0, 1471.0, 1.0);RC-17
(686.0, 1381.0, 1.0);RC-16
(686.0, 1291.0, 1.0);RC-15
(686.0, 1201.0, 1.0);RC-14
(686.0, 1111.0, 1.0);RC-13
(686.0, 1021.0, 1.0);RC-12
(686.0, 931.0, 1.0);RC-11
(686.0, 841.0, 1.0);RC-10
(686.0, 751.0, 1.0);RC-09
(686.0, 631.0, 1.0);RC-08
